RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
19,20,Gabriele Nelli,ITA,135,11,13,159
28,16,Oleg Antonov,ITA,113,22,7,142
45,24,Giulio Pinali,ITA,98,8,8,114
49,19,Daniele Lavia,ITA,98,7,6,111
67,22,Oreste Cavuto,ITA,75,14,3,92
74,15,Roberto Russo,ITA,66,11,9,86
114,6,Simone Giannelli,ITA,29,14,16,59
143,17,Simone Anzani,ITA,29,13,0,42
158,14,Matteo Piano,ITA,19,12,0,31
163,21,Alberto Polo,ITA,20,5,5,30
185,1,Davide Candellaro,ITA,14,4,2,20
186,8,Daniele Mazzone,ITA,15,3,1,19
195,2,Riccardo Sbertoli,ITA,3,7,5,15
211,7,Giacomo Raffaelli,ITA,8,2,0,10
212,23,Andrea Argenta,ITA,10,0,0,10
221,12,Fabio Ricci,ITA,5,1,1,7
248,3,Luca Spirito,ITA,2,0,0,2
253,28,Francesco Recine,ITA,1,0,0,1
