RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
2,11,Yuji Nishida,JPN,183,13,23,219
8,14,Yuki Ishikawa,JPN,170,12,11,193
60,5,Tatsuya Fukuzawa,JPN,91,6,2,99
68,20,Taishi Onodera,JPN,65,16,11,92
94,1,Issei Otake,JPN,64,2,7,73
102,6,Akihiro Yamauchi,JPN,49,12,7,68
108,8,Masahiro Yanagida,JPN,56,1,8,65
118,13,Naoya Takano,JPN,49,6,1,56
120,15,Haku Ri,JPN,38,11,6,55
196,12,Masahiro Sekita,JPN,5,3,7,15
206,17,Tsubasa Hisahara,JPN,10,1,0,11
213,3,Naonobu Fujii,JPN,3,2,4,9
254,2,Hideomi Fukatsu,JPN,0,0,1,1
