RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
29,22,Bartosz Bednorz,POL,117,16,9,142
31,2,Maciej Muzaj,POL,111,21,4,136
32,18,Bartosz Kwolek,POL,108,13,14,135
40,14,Aleksander Sliwka,POL,107,5,6,118
54,5,Lukasz Kaczmarek,POL,91,13,3,107
58,77,Karol Klos,POL,67,29,9,105
69,99,Norbert Huber,POL,58,28,6,92
77,3,Dawid Konarski,POL,73,8,3,84
82,20,Mateusz Bieniek,POL,55,14,12,81
87,15,Jakub Kochanowski,POL,56,16,7,79
125,27,Piotr Łukasik,POL,40,10,0,50
131,7,Artur Szalpuk,POL,38,5,4,47
147,21,Tomasz Fornal,POL,27,11,3,41
180,16,Bartlomiej Boladz,POL,20,2,0,22
188,1,Piotr Nowakowski,POL,9,7,2,18
189,13,Michal Kubiak,POL,12,3,3,18
197,4,Marcin Komenda,POL,3,10,2,15
207,28,Bartosz Filipiak,POL,8,3,0,11
220,19,Marcin Janusz,POL,2,3,3,8
235,11,Fabian Drzyzga,POL,0,4,0,4
236,25,Michał Szalacha,POL,3,1,0,4
241,12,Grzegorz Lomacz,POL,0,2,1,3
