RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
11,6,Alexandre Ferreira,POR,139,19,13,171
21,7,Marco Evan Baptista Ferreira,POR,145,7,4,156
62,4,Filip Cveticanin,POR,69,24,4,97
73,12,Lourenco Martins,POR,70,11,7,88
111,13,Caique Oswaldo Ferreira Da Silva,POR,53,7,2,62
115,11,Bruno Cunha,POR,47,6,6,59
151,10,Phelipe Martins,POR,29,8,2,39
155,9,Joao Simoes,POR,28,5,1,34
171,15,Miguel Tavares Rodrigues,POR,12,4,9,25
190,1,Valdir Sequeira,POR,14,0,4,18
193,3,Nuno Teixeira,POR,10,4,2,16
214,8,Tiago Da Silva Violas,POR,4,4,1,9
