RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
7,15,Victor Poletaev,RUS,158,20,16,194
14,18,Egor Kliuka,RUS,111,23,28,162
23,20,Ilyas Kurkaev,RUS,107,33,8,148
39,7,Dmitry Volkov,RUS,91,18,12,121
44,9,Ivan Iakovlev,RUS,70,32,13,115
78,14,Yaroslav Podlesnykh,RUS,69,8,7,84
86,4,Denis Zemchenok,RUS,71,3,6,80
95,10,Fedor Voronkov,RUS,64,4,5,73
103,11,Igor Philippov,RUS,44,20,4,68
133,24,Igor Kobzar,RUS,28,11,7,46
172,3,Dmitry Kovalev,RUS,6,15,4,25
187,8,Anton Semyshev,RUS,17,1,1,19
222,2,Ilia Vlasov,RUS,6,1,0,7
225,29,Kirill Ursov,RUS,6,0,0,6
232,28,Kirill Klets,RUS,5,0,0,5
