RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
36,5,Lazar Cirovic,SRB,100,19,8,127
37,23,Bozidar Vucicevic,SRB,94,14,16,124
46,12,Dusan Petkovic,SRB,103,4,7,114
61,7,Petar Krsmanovic,SRB,73,21,4,98
79,10,Miran Kujundžić,SRB,73,4,5,82
80,16,Drazen Luburic,SRB,74,4,4,82
91,1,Aleksandar Okolic,SRB,57,16,4,77
121,3,Milan Katic,SRB,39,6,8,53
123,13,Stevan Simic,SRB,38,12,1,51
130,20,Srecko Lisinac,SRB,35,10,3,48
159,8,Marko Ivovic,SRB,19,5,7,31
169,24,David Mehic,SRB,24,0,4,28
177,4,Nemanja Petric,SRB,22,0,1,23
215,15,Nemanja Masulovic,SRB,6,3,0,9
216,21,Vuk Todorovic,SRB,2,3,4,9
226,9,Nikola Jovovic,SRB,1,3,2,6
237,27,Stefan Kovacevic,SRB,3,1,0,4
249,22,Andrija Vilimanovic,SRB,2,0,0,2
255,11,Aleksa Batak,SRB,0,0,1,1
