RANK,SHIRTNUMBER,NAME,TEAM,ATTACKS,BLOCKS,SERVES,TOTAL
22,13,Benjamin Patch,USA,141,9,1,151
24,18,Garrett Muagututia,USA,119,13,16,148
27,3,Taylor Sander,USA,122,12,10,144
56,20,David Smith,USA,68,25,13,106
65,8,Torey Defalco,USA,76,9,10,95
83,12,Maxwell Holt,USA,42,30,9,81
92,1,Matthew Anderson,USA,68,3,5,76
104,4,Jeffrey Jendryk Ii,USA,49,17,2,68
135,5,Kyle Ensing,USA,35,7,2,44
144,14,Micah Ma'a,USA,27,7,8,42
148,6,Mitchell Stahl,USA,25,12,4,41
157,25,Kyle Russell,USA,27,4,1,32
160,11,Micah Christenson,USA,8,16,7,31
161,17,Thomas Jaeschke,USA,26,0,5,31
173,9,Jake Langlois,USA,19,6,0,25
174,30,George Huhmann,USA,20,3,2,25
178,19,Taylor Averill,USA,18,3,2,23
181,2,Aaron Russell,USA,17,3,2,22
208,7,Kawika Shoji,USA,5,1,5,11
238,16,Joshua Tuaniga,USA,3,0,1,4
