TEAM,ACES,FAULTS,HITS,TOTAL_ATTEMPTS
RUS, 0.069375, 0.199375, 0.731250, 1600.000000 
JPN, 0.066717, 0.172858, 0.760425, 1319.000000 
BRA, 0.050934, 0.166384, 0.782683, 1767.000000 
AUS, 0.080131, 0.186427, 0.733442, 1223.000000 
ITA, 0.057707, 0.167046, 0.775247, 1317.000000 
POR, 0.049416, 0.196765, 0.753819, 1113.000000 
SRB, 0.056509, 0.175250, 0.768240, 1398.000000 
CAN, 0.050305, 0.181402, 0.768293, 1312.000000 
GER, 0.061029, 0.231618, 0.707353, 1360.000000 
IRI, 0.054370, 0.191328, 0.754301, 1453.000000 
USA, 0.062687, 0.214328, 0.722985, 1675.000000 
BUL, 0.043853, 0.217698, 0.738449, 1277.000000 
POL, 0.049945, 0.153128, 0.796926, 1822.000000 
FRA, 0.042741, 0.191316, 0.765943, 1474.000000 
CHN, 0.047081, 0.190207, 0.762712, 1062.000000 
ARG, 0.041207, 0.181751, 0.777042, 1359.000000 
