RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
3,18,Ricardo Lucarelli Souza,BRA,23,33,175,231,0.30
9,9,Yoandy Leal Hidalgo,BRA,19,52,130,201,0.25
53,21,Alan Souza,BRA,10,28,77,115,0.13
90,2,Isac Santos,BRA,7,34,87,128,0.09
103,13,Mauricio Luiz De Souza,BRA,6,12,135,153,0.08
104,16,Lucas Saatkamp,BRA,6,25,135,166,0.08
105,23,Flavio Gualberto,BRA,6,12,131,149,0.08
121,6,Fernando Gil Kreling,BRA,5,22,132,159,0.06
147,8,Wallace De Souza,BRA,3,25,152,180,0.04
174,1,Bruno Mossa Rezende,BRA,2,13,101,116,0.03
175,14,Douglas Correia De Souza,BRA,2,32,85,119,0.03
207,3,Eder Carbonera,BRA,1,0,2,3,0.01
213,5,Lucas Eduardo Loh,BRA,0,0,6,6,
214,19,Mauricio Borges Almeida Silva,BRA,0,4,28,32,
215,20,Thiago Pontes Veloso,BRA,0,2,7,9,
