RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
24,9,Georgi Seganov,BUL,11,17,176,204,0.19
49,6,Rozalin Penchev,BUL,8,41,76,125,0.14
50,19,Tsvetan Sokolov,BUL,8,47,56,111,0.14
83,5,Svetoslav Gotsev,BUL,6,14,122,142,0.10
84,8,Todor Skrimov,BUL,6,29,60,95,0.10
119,4,Martin Atanasov,BUL,4,31,58,93,0.07
139,7,Nikolay Uchikov,BUL,3,12,60,75,0.05
140,20,Aleks Grozdanov,BUL,3,13,53,69,0.05
162,1,Georgi Bratoev,BUL,2,7,52,61,0.03
163,12,Viktor Yosifov,BUL,2,3,28,33,0.03
188,2,Krasimir Georgiev,BUL,1,18,49,68,0.02
189,10,Valentin Bratoev,BUL,1,6,13,20,0.02
190,11,Velizar Chernokozhev,BUL,1,4,11,16,0.02
216,14,Teodor Todorov,BUL,0,5,48,53,
217,17,Nikolay Penchev,BUL,0,19,44,63,
218,18,Nikolay Nikolov,BUL,0,5,18,23,
219,22,Vladimir Stankov,BUL,0,0,3,3,
220,25,Radoslav Parapunov,BUL,0,2,1,3,
221,26,Plamen Shekerdzhiev,BUL,0,5,13,18,
222,30,Nikolay Kolev,BUL,0,0,2,2,
