RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
10,10,Sharone Vernon-Evans,CAN,14,32,64,110,0.24
18,17,Graham Vigrass,CAN,12,20,132,164,0.21
33,7,Stephen Timothy Maar,CAN,10,18,87,115,0.17
34,21,Brett James Walsh,CAN,10,26,197,233,0.17
78,4,Nicholas Hoag,CAN,6,32,95,133,0.10
79,16,Ryan Joseph Sclater,CAN,6,28,69,103,0.10
158,2,John Gordon Perrin,CAN,2,21,69,92,0.03
159,24,Adam Schriemer,CAN,2,0,9,11,0.03
183,1,Tyler Sanders,CAN,1,2,16,19,0.02
184,5,Deanan Gyimah,CAN,1,8,14,23,0.02
185,9,Jason Derocco,CAN,1,11,62,74,0.02
186,20,Arthur Szwarc,CAN,1,30,56,87,0.02
223,6,Justin Duff,CAN,0,1,4,5,
224,11,Daniel Jansen Vandoorn,CAN,0,4,19,23,
225,12,Lucas Van Berkel,CAN,0,4,103,107,
226,14,Eric Loeppky,CAN,0,1,12,13,
