RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
37,20,Shuhan Rao,CHN,8,15,140,163,0.16
47,17,Libin Liu,CHN,7,23,81,111,0.14
67,1,Qingyao Dai,CHN,6,23,78,107,0.12
68,2,Chuan Jiang,CHN,6,48,92,146,0.12
86,19,Guojun Zhan,CHN,5,17,46,68,0.10
99,8,Jingyi Wang,CHN,4,10,28,42,0.08
100,13,Longhai Chen,CHN,4,13,96,113,0.08
131,10,Daoshuai Ji,CHN,3,6,34,43,0.06
132,12,Zhejia Zhang,CHN,3,11,39,53,0.06
145,3,Tianyi Mao,CHN,2,0,24,26,0.04
146,11,Haixiang Du,CHN,2,21,51,74,0.04
227,9,Yaochen Yu,CHN,0,7,80,87,
228,21,Ruantong Miao,CHN,0,5,5,10,
229,23,Shikun Peng,CHN,0,3,16,19,
