RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
36,8,Julien Lyneel,FRA,10,19,73,102,0.16
54,11,Antoine Brizard,FRA,8,30,106,144,0.13
55,12,Stephen Boyer,FRA,8,28,64,100,0.13
56,17,Trevor Clevenot,FRA,8,20,58,86,0.13
57,18,Thibault Rossard,FRA,8,31,55,94,0.13
73,16,Daryl Bultor,FRA,7,16,39,62,0.11
89,10,Kevin Le Roux,FRA,6,39,51,96,0.10
123,7,Kevin Tillie,FRA,4,9,101,114,0.06
166,21,Barthélémy Chinenyeze,FRA,2,14,132,148,0.03
195,14,Nicolas Le Goff,FRA,1,4,106,111,0.02
196,19,Yacine Louati,FRA,1,11,51,63,0.02
230,1,Jonas Aguenier,FRA,0,3,54,57,
231,4,Jean Patry,FRA,0,27,99,126,
232,5,Raphaël Corre,FRA,0,6,32,38,
233,6,Benjamin Toniutti,FRA,0,3,73,76,
234,9,Earvin Ngapeth,FRA,0,8,13,21,
235,23,Timothée Carle,FRA,0,14,22,36,
