RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
14,7,Purya Fayazi D.,IRI,14,44,131,189,0.23
15,10,Amir Ghafour,IRI,14,51,137,202,0.23
20,6,Seyed Mohammad Mousavi Eraghi,IRI,12,42,103,157,0.19
28,16,Ali Shafiei,IRI,11,18,193,222,0.18
41,2,Milad Ebadipour Ghara H.,IRI,9,41,148,198,0.15
88,4,Mir Saeid Marouflakrani,IRI,6,13,161,180,0.10
98,5,Farhad Ghaemi,IRI,5,13,56,74,0.08
122,15,Aliasghar Mojarad,IRI,4,22,65,91,0.06
165,14,Mohammadjavad Manavinezhad,IRI,2,17,24,43,0.03
193,20,Porya Yali,IRI,1,6,48,55,0.02
194,24,Javad Karimisouchelmaei,IRI,1,7,8,16,0.02
238,9,Masoud Gholami,IRI,0,3,22,25,
239,21,Morteza Sharifi,IRI,0,1,0,1,
