RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
5,6,Simone Giannelli,ITA,16,21,110,147,0.29
13,20,Gabriele Nelli,ITA,13,28,67,108,0.23
35,15,Roberto Russo,ITA,9,18,148,175,0.16
42,24,Giulio Pinali,ITA,8,25,86,119,0.14
60,16,Oleg Antonov,ITA,7,32,124,163,0.13
77,19,Daniele Lavia,ITA,6,19,95,120,0.11
91,2,Riccardo Sbertoli,ITA,5,19,54,78,0.09
92,21,Alberto Polo,ITA,5,13,62,80,0.09
136,22,Oreste Cavuto,ITA,3,24,76,103,0.05
156,1,Davide Candellaro,ITA,2,6,50,58,0.04
180,8,Daniele Mazzone,ITA,1,4,27,32,0.02
181,12,Fabio Ricci,ITA,1,1,14,16,0.02
240,3,Luca Spirito,ITA,0,1,6,7,
241,7,Giacomo Raffaelli,ITA,0,0,9,9,
242,14,Matteo Piano,ITA,0,1,46,47,
243,17,Simone Anzani,ITA,0,4,42,46,
244,23,Andrea Argenta,ITA,0,3,4,7,
245,28,Francesco Recine,ITA,0,1,1,2,
