RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
29,18,Bartosz Kwolek,POL,14,28,129,171,0.18
40,20,Mateusz Bieniek,POL,12,11,92,115,0.15
71,22,Bartosz Bednorz,POL,9,33,88,130,0.11
72,77,Karol Klos,POL,9,25,138,172,0.11
93,15,Jakub Kochanowski,POL,7,30,91,128,0.09
109,14,Aleksander Sliwka,POL,6,19,128,153,0.08
110,99,Norbert Huber,POL,6,17,112,135,0.08
141,2,Maciej Muzaj,POL,4,21,89,114,0.05
142,7,Artur Szalpuk,POL,4,3,54,61,0.05
151,3,Dawid Konarski,POL,3,17,44,64,0.04
152,5,Lukasz Kaczmarek,POL,3,18,88,109,0.04
153,13,Michal Kubiak,POL,3,5,20,28,0.04
154,19,Marcin Janusz,POL,3,4,61,68,0.04
155,21,Tomasz Fornal,POL,3,6,35,44,0.04
176,1,Piotr Nowakowski,POL,2,12,34,48,0.03
177,4,Marcin Komenda,POL,2,5,104,111,0.03
208,12,Grzegorz Lomacz,POL,1,7,52,60,0.01
247,11,Fabian Drzyzga,POL,0,7,32,39,
248,16,Bartlomiej Boladz,POL,0,5,12,17,
249,25,Michał Szalacha,POL,0,0,9,9,
250,27,Piotr Łukasik,POL,0,5,31,36,
251,28,Bartosz Filipiak,POL,0,1,9,10,
