RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
7,6,Alexandre Ferreira,POR,13,59,87,159,0.25
32,15,Miguel Tavares Rodrigues,POR,9,20,99,128,0.17
52,12,Lourenco Martins,POR,7,19,64,90,0.13
70,11,Bruno Cunha,POR,6,9,30,45,0.12
106,1,Valdir Sequeira,POR,4,13,33,50,0.08
107,4,Filip Cveticanin,POR,4,20,127,151,0.08
108,7,Marco Evan Baptista Ferreira,POR,4,41,74,119,0.08
148,3,Nuno Teixeira,POR,2,12,30,44,0.04
149,10,Phelipe Martins,POR,2,14,101,117,0.04
150,13,Caique Oswaldo Ferreira Da Silva,POR,2,6,62,70,0.04
178,8,Tiago Da Silva Violas,POR,1,1,83,85,0.02
179,9,Joao Simoes,POR,1,5,49,55,0.02
