RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
8,23,Bozidar Vucicevic,SRB,16,26,57,99,0.25
61,3,Milan Katic,SRB,8,18,66,92,0.13
62,5,Lazar Cirovic,SRB,8,49,108,165,0.13
75,8,Marko Ivovic,SRB,7,6,23,36,0.11
76,12,Dusan Petkovic,SRB,7,24,57,88,0.11
102,10,Miran Kujundžić,SRB,5,21,67,93,0.08
126,1,Aleksandar Okolic,SRB,4,6,111,121,0.06
127,7,Petar Krsmanovic,SRB,4,14,170,188,0.06
128,16,Drazen Luburic,SRB,4,17,43,64,0.06
129,21,Vuk Todorovic,SRB,4,10,87,101,0.06
130,24,David Mehic,SRB,4,12,25,41,0.06
144,20,Srecko Lisinac,SRB,3,10,43,56,0.05
168,9,Nikola Jovovic,SRB,2,2,58,62,0.03
200,4,Nemanja Petric,SRB,1,7,17,25,0.02
201,11,Aleksa Batak,SRB,1,4,15,20,0.02
202,13,Stevan Simic,SRB,1,8,87,96,0.02
255,15,Nemanja Masulovic,SRB,0,2,12,14,
256,22,Andrija Vilimanovic,SRB,0,7,15,22,
257,27,Stefan Kovacevic,SRB,0,1,11,12,
258,28,Danilo Pavlovic,SRB,0,1,2,3,
