RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
16,18,Garrett Muagututia,USA,16,31,151,198,0.22
27,20,David Smith,USA,13,38,124,175,0.18
45,3,Taylor Sander,USA,10,26,113,149,0.14
46,8,Torey Defalco,USA,10,27,65,102,0.14
63,12,Maxwell Holt,USA,9,25,80,114,0.13
74,14,Micah Ma'a,USA,8,31,78,117,0.11
87,11,Micah Christenson,USA,7,31,92,130,0.10
114,1,Matthew Anderson,USA,5,22,55,82,0.07
115,7,Kawika Shoji,USA,5,7,30,42,0.07
116,17,Thomas Jaeschke,USA,5,11,27,43,0.07
135,6,Mitchell Stahl,USA,4,15,60,79,0.06
169,2,Aaron Russell,USA,2,2,25,29,0.03
170,4,Jeffrey Jendryk Ii,USA,2,11,81,94,0.03
171,5,Kyle Ensing,USA,2,16,26,44,0.03
172,19,Taylor Averill,USA,2,7,22,31,0.03
173,30,George Huhmann,USA,2,14,24,40,0.03
204,13,Benjamin Patch,USA,1,15,86,102,0.01
205,16,Joshua Tuaniga,USA,1,11,33,45,0.01
206,25,Kyle Russell,USA,1,13,21,35,0.01
259,9,Jake Langlois,USA,0,6,18,24,
