TEAM,RUNNING_SETS,FAULTS,STILL_SETS,TOTAL_ATTEMPTS
IRI, 0.348936, 0.018237, 0.632827, 1645.000000 
CAN, 0.312992, 0.015092, 0.671916, 1524.000000 
ITA, 0.342158, 0.007280, 0.650563, 1511.000000 
AUS, 0.263340, 0.018711, 0.717949, 1443.000000 
GER, 0.286061, 0.007273, 0.706667, 1650.000000 
BUL, 0.305263, 0.008421, 0.686316, 1425.000000 
FRA, 0.264859, 0.008078, 0.727063, 1733.000000 
JPN, 0.241104, 0.010429, 0.748466, 1630.000000 
RUS, 0.239700, 0.009363, 0.750936, 1602.000000 
BRA, 0.320988, 0.010735, 0.668277, 1863.000000 
USA, 0.324610, 0.008352, 0.667038, 1796.000000 
POR, 0.260264, 0.014663, 0.725073, 1364.000000 
ARG, 0.309317, 0.006832, 0.683851, 1610.000000 
POL, 0.301122, 0.006833, 0.692045, 2049.000000 
CHN, 0.290679, 0.021327, 0.687994, 1266.000000 
SRB, 0.241602, 0.008398, 0.750000, 1548.000000 
