RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
13;15;Luciano De Cecco;ARG;210;3;344;557;3.56
15;5;Nicolas Uriarte;ARG;175;3;348;526;2.97
31;4;Maximiliano Cavanna;ARG;80;1;191;272;1.36
47;7;Facundo Conte;ARG;10;0;50;60;0.17
56;9;Santiago Danani;ARG;6;1;63;70;0.10
57;12;Bruno Lima;ARG;6;1;15;22;0.10
69;6;Cristian Poglajen;ARG;4;1;22;27;0.07
87;3;Jan Martinez Franchi;ARG;3;0;9;12;0.05
111;17;Nicolas Mendez;ARG;2;0;5;7;0.03
153;2;Federico Pereyra;ARG;1;0;7;8;0.02
154;13;Ezequiel Palacios;ARG;1;0;21;22;0.02
207;8;Agustin Loser;ARG;0;0;8;8;
208;11;Sebastian Solé;ARG;0;0;7;7;
209;14;Pablo Crer;ARG;0;0;3;3;
210;18;Martin Ramos;ARG;0;1;8;9;
