RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
10;6;Fernando Gil Kreling;BRA;309;10;554;873;4.01
16;1;Bruno Mossa Rezende;BRA;227;4;391;622;2.95
45;20;Thiago Pontes Veloso;BRA;19;1;33;53;0.25
60;14;Douglas Correia De Souza;BRA;7;1;26;34;0.09
70;22;Maique Reis Nascimento;BRA;5;0;25;30;0.06
81;9;Yoandy Leal Hidalgo;BRA;4;2;25;31;0.05
82;13;Mauricio Luiz De Souza;BRA;4;0;7;11;0.05
83;16;Lucas Saatkamp;BRA;4;0;9;13;0.05
84;18;Ricardo Lucarelli Souza;BRA;4;0;63;67;0.05
98;4;Thales Hoss;BRA;3;0;52;55;0.04
99;21;Alan Souza;BRA;3;0;13;16;0.04
100;23;Flavio Gualberto;BRA;3;0;4;7;0.04
130;8;Wallace De Souza;BRA;2;1;21;24;0.03
195;3;Eder Carbonera;BRA;1;0;0;1;0.01
196;5;Lucas Eduardo Loh;BRA;1;0;0;1;0.01
197;19;Mauricio Borges Almeida Silva;BRA;1;0;18;19;0.01
198;29;Rafael Araujo;BRA;1;0;0;1;0.01
214;2;Isac Santos;BRA;0;1;4;5;
