RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
5;17;Jan Zimmermann;GER;336;6;699;1041;5.25
36;16;Tomas Kocian-Falkenbach;GER;65;2;100;167;1.02
37;11;Lukas Kampa;GER;53;1;130;184;0.83
59;10;Julian Zenger;GER;6;1;93;100;0.09
73;3;Ruben Schott;GER;4;0;48;52;0.06
122;1;Christian Fromm;GER;2;0;13;15;0.03
123;7;David Sossenheimer;GER;2;0;9;11;0.03
174;12;Anton Brehme;GER;1;0;2;3;0.02
175;13;Simon Hirsch;GER;1;0;23;24;0.02
176;15;Noah Baxpöhler;GER;1;0;4;5;0.02
177;19;Daniel Malescha;GER;1;0;3;4;0.02
236;2;Tobias Krick;GER;0;0;5;5;
237;5;Moritz Reichert;GER;0;2;25;27;
238;8;Marcus Böhme;GER;0;0;6;6;
239;20;Linus Weber;GER;0;0;6;6;
