RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
1;4;Mir Saeid Marouflakrani;IRI;529;17;688;1234;8.53
42;24;Javad Karimisouchelmaei;IRI;26;2;77;105;0.42
52;10;Amir Ghafour;IRI;9;1;57;67;0.15
91;6;Seyed Mohammad Mousavi Eraghi;IRI;3;1;14;18;0.05
92;16;Ali Shafiei;IRI;3;1;28;32;0.05
119;8;Mohammadreza Hazratpourtalatappeh;IRI;2;2;62;66;0.03
164;2;Milad Ebadipour Ghara H.;IRI;1;0;40;41;0.02
165;7;Purya Fayazi D.;IRI;1;4;31;36;0.02
240;5;Farhad Ghaemi;IRI;0;0;12;12;
241;9;Masoud Gholami;IRI;0;0;4;4;
242;14;Mohammadjavad Manavinezhad;IRI;0;0;6;6;
243;15;Aliasghar Mojarad;IRI;0;1;10;11;
244;19;Mohammadreza Moazzen;IRI;0;0;4;4;
245;20;Porya Yali;IRI;0;1;8;9;
