RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
8;12;Masahiro Sekita;JPN;242;8;620;870;4.10
25;3;Naonobu Fujii;JPN;99;1;184;284;1.68
40;2;Hideomi Fukatsu;JPN;29;1;149;179;0.49
53;14;Yuki Ishikawa;JPN;7;3;38;48;0.12
64;22;Tomohiro Yamamoto;JPN;5;0;80;85;0.08
115;5;Tatsuya Fukuzawa;JPN;2;0;25;27;0.03
116;6;Akihiro Yamauchi;JPN;2;0;3;5;0.03
117;10;Taichiro Koga;JPN;2;0;25;27;0.03
118;15;Haku Ri;JPN;2;0;4;6;0.03
161;8;Masahiro Yanagida;JPN;1;1;22;24;0.02
162;11;Yuji Nishida;JPN;1;1;20;22;0.02
163;13;Naoya Takano;JPN;1;0;21;22;0.02
254;1;Issei Otake;JPN;0;1;8;9;
255;17;Tsubasa Hisahara;JPN;0;0;8;8;
256;20;Taishi Onodera;JPN;0;1;13;14;
