RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
12;15;Miguel Tavares Rodrigues;POR;197;6;480;683;3.79
20;8;Tiago Da Silva Violas;POR;124;2;336;462;2.38
49;5;Gil Pereira;POR;8;1;54;63;0.15
50;6;Alexandre Ferreira;POR;8;0;42;50;0.15
58;7;Marco Evan Baptista Ferreira;POR;5;3;10;18;0.10
78;4;Filip Cveticanin;POR;3;2;9;14;0.06
79;10;Phelipe Martins;POR;3;0;6;9;0.06
101;11;Bruno Cunha;POR;2;0;4;6;0.04
102;12;Lourenco Martins;POR;2;2;8;12;0.04
103;17;Joao Fidalgo;POR;2;2;26;30;0.04
138;13;Caique Oswaldo Ferreira Da Silva;POR;1;0;5;6;0.02
263;1;Valdir Sequeira;POR;0;1;5;6;
264;3;Nuno Teixeira;POR;0;1;3;4;
265;9;Joao Simoes;POR;0;0;1;1;
