RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
9;24;Igor Kobzar;RUS;275;7;706;988;4.04
27;3;Dmitry Kovalev;RUS;101;2;261;364;1.49
125;4;Denis Zemchenok;RUS;2;1;12;15;0.03
126;14;Yaroslav Podlesnykh;RUS;2;1;5;8;0.03
127;27;Valentin Golubev;RUS;2;0;83;85;0.03
187;9;Ivan Iakovlev;RUS;1;0;15;16;0.01
188;20;Ilyas Kurkaev;RUS;1;1;6;8;0.01
266;2;Ilia Vlasov;RUS;0;0;1;1;
267;7;Dmitry Volkov;RUS;0;0;15;15;
268;10;Fedor Voronkov;RUS;0;0;17;17;
269;11;Igor Philippov;RUS;0;0;11;11;
270;15;Victor Poletaev;RUS;0;2;17;19;
271;18;Egor Kliuka;RUS;0;0;35;35;
272;22;Roman Martynyuk;RUS;0;0;17;17;
273;29;Kirill Ursov;RUS;0;1;2;3;
