RANK,SHIRTNUMBER,NAME,TEAM,SPIKES,FAULTS,SHOTS,TOTAL ATTEMPTS,SUCCESS %
18;21;Vuk Todorovic;SRB;177;4;418;599;2.77
26;9;Nikola Jovovic;SRB;107;2;283;392;1.67
39;22;Andrija Vilimanovic;SRB;36;0;121;157;0.56
41;11;Aleksa Batak;SRB;29;0;115;144;0.45
74;1;Aleksandar Okolic;SRB;4;0;9;13;0.06
75;7;Petar Krsmanovic;SRB;4;1;16;21;0.06
94;5;Lazar Cirovic;SRB;3;2;27;32;0.05
95;6;Nikola Pekovic;SRB;3;0;51;54;0.05
124;19;Stefan Negic;SRB;2;1;3;6;0.03
178;3;Milan Katic;SRB;1;0;21;22;0.02
179;4;Nemanja Petric;SRB;1;0;5;6;0.02
180;8;Marko Ivovic;SRB;1;1;15;17;0.02
181;13;Stevan Simic;SRB;1;0;10;11;0.02
182;15;Nemanja Masulovic;SRB;1;0;1;2;0.02
183;17;Neven Majstorovic;SRB;1;0;13;14;0.02
184;20;Srecko Lisinac;SRB;1;0;8;9;0.02
185;23;Bozidar Vucicevic;SRB;1;1;8;10;0.02
186;27;Stefan Kovacevic;SRB;1;0;1;2;0.02
274;10;Miran Kujundžić;SRB;0;0;13;13;
275;12;Dusan Petkovic;SRB;0;1;9;10;
276;16;Drazen Luburic;SRB;0;0;9;9;
277;24;David Mehic;SRB;0;0;5;5;
